Muscle Group,Exercise Name,Instructions,Exercise URL,Video URL,Detailed How-To,Difficulty,Tags,Exercise Type
glutes,Box Supported Single Leg Deadlift,,https://musclewiki.com/recovery/male/lowerback/single-leg-deadlift-1-box-support/,,,,,Muscle Building
glutes,Bodyweight Deadlift,,https://musclewiki.com/recovery/male/lowerback/bodyweight-deadlift/,,,,,Muscle Building
glutes,Kettlebell Box Squat,,https://musclewiki.com/kettlebells/male/lowerback/kettlebell-box-squat/,,,,,Muscle Building
glutes,Bodyweight Ninety Ninety Hip Stretch,,https://musclewiki.com/bodyweight/male/glutes/bodyweight-ninety-ninety-hip-stretch/,,,,,Stretching
glutes,Inchworm,,https://musclewiki.com/recovery/male/lowerback/inchworm/,,,,,Muscle Building
glutes,Barbell Jefferson Deadlift,,https://musclewiki.com/barbell/male/lowerback/barbell-jefferson-deadlift/,,,,,Muscle Building
glutes,Barbell Suitcase Carry,,https://musclewiki.com/barbell/male/lowerback/barbell-suitcase-carry/,,,,,Muscle Building
glutes,Band Squat Hold Row,,https://musclewiki.com/band/male/biceps/band-squat-hold-row/,,,,,Muscle Building
glutes,Band Squat Hold Single Arm Row,,https://musclewiki.com/band/male/biceps/band-squat-hold-single-arm-row/,,,,,Muscle Building
forearms,Vajrasana Variation 2,,https://musclewiki.com/yoga/male/forearms/vajrasana-Variation-2/,,,,,Muscle Building
calves,Cardio In And Outs,,https://musclewiki.com/cardio/male/calves/cardio-in-and-outs/,https://media.musclewiki.com/media/uploads/videos/branded/male-Cardio-cardio-in-and-outs-front.mp4#t=0.1,,Intermediate,"Butt Exercise, Glutes Exercise, Leg Exercise, Glute Exercise, Calves Exercise, Gluteus Medius Exercise, Calves",Cardio
calves,Calf Mobilisation Seated Floor Roll,,https://musclewiki.com/recovery/male/calves/calf-mobilisation-seated-floor-roll/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-mobilisation-seated-floor-roll-side.mp4#t=0.1,,Beginner,"Calves Exercise, Leg Exercise, Calves",Muscle Building
calves,Calf Raise 1A Bilateral Eccentric Floor,,https://musclewiki.com/recovery/male/calves/calf-raise-1a-bilateral-eccentric-floor/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-raise-1a-bilateral-eccentric-floor-side.mp4#t=0.1,,Beginner,"Calves Exercise, Leg Exercise, Calves",Muscle Building
obliques,Band Wood Chopper,,https://musclewiki.com/band/male/obliques/band-wood-chopper/,https://media.musclewiki.com/media/uploads/videos/branded/male-Band-band-wood-chopper-front.mp4#t=0.1,,Advanced,"Obliques, advanced Band exercise, advanced exercise, How to do Band Wood Chopper, Resistance Band Exercises, Band, How To Do A Band Wood Chopper, Obliques Exercise, Ab Exercise, Band Exercise",Muscle Building
obliques,Dumbbell Elbow Side Plank,,https://musclewiki.com/dumbbells/male/obliques/dumbbell-elbow-side-plank/,https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-elbow-side-plank-side.mp4#t=0.1,,Beginner,"Side Plank, How to do Dumbbell Elbow Side Plank, Dumbbell Exercise, Obliques Exercise, Ab Exercise, Obliques, How To Do A Dumbbell Elbow Side Plank, beginner Dumbbells exercise, Dumbbells",Muscle Building
gluteus-medius,Kettlebell Single Arm Curtsy Lunge,,https://musclewiki.com/kettlebells/male/glutes/Kettlebell-single-arm-curtsy-lunge/,,,,,Muscle Building
gluteus-medius,Cardio In And Outs,,https://musclewiki.com/cardio/male/calves/cardio-in-and-outs/,https://media.musclewiki.com/media/uploads/videos/branded/male-Cardio-cardio-in-and-outs-front.mp4#t=0.1,,Intermediate,"Butt Exercise, Glutes Exercise, Leg Exercise, Glute Exercise, Calves Exercise, Gluteus Medius Exercise, Calves",Cardio
gluteus-maximus,Kettlebell Single Arm Curtsy Lunge,,https://musclewiki.com/kettlebells/male/glutes/Kettlebell-single-arm-curtsy-lunge/,,,,,Muscle Building
