id,Exercise Name,Muscle Group,Equipment,Difficulty,Exercise_Type,Combined_Text,Exercise_URL,Video_URL,description
10,Adductor Stretch Dynamic Standing Alternate,inner-thigh,None,Beginner,Stretching,"1
From the standing position, use a chair/bench/box for support
2
Transfer your weight towards one leg by bending the knee, while keeping the opposite leg straight and the foot on the ground
3
Feel a stretch on the inside of the thigh (adductor) of the straight leg



Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/inner-thigh/adductor-stretch-dynamic-standing-alternate/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-adductor-stretch-dynamic-standing-alternate-front.mp4#t=0.1,"The 'Adductor Stretch Dynamic Standing Alternate' is a 'Beginner' level 'Stretching' exercise that targets the 'inner-thigh' and requires 'None'. Instructions and tips: 1.From the standing position, use a chair/bench/box for support.2.Transfer your weight towards one leg by bending the knee, while keeping the opposite leg straight and the foot on the ground.3.Feel a stretch on the inside of the thigh (adductor) of the straight leg.Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise"
11,Adductor Stretch Dynamic Unilateral 4 Point Position,inner-thigh,None,Beginner,Stretching,"1
From the 4 point position (all fours), extend one leg to the side, placing the foot on the ground.
2
Start rocking your hips back and forth.
3
You should feel your adductors and hip joint being stretched.
4
Try to maintain a neutral spine



Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/inner-thigh/adductor-stretch-dynamic-unilateral-4-point-position/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-adductor-stretch-dynamic-unilateral-4-point-position-side.mp4#t=0.1,"The 'Adductor Stretch Dynamic Unilateral 4 Point Position' is a 'Beginner' level 'Stretching' exercise that targets the 'inner-thigh' and requires 'None'. Instructions and tips: 1.From the 4 point position (all fours), extend one leg to the side, placing the foot on the ground..2.Start rocking your hips back and forth..3.You should feel your adductors and hip joint being stretched..4.Try to maintain a neutral spine.Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise"
12,Adductor Stretch Seated Bilateral Dynamic,inner-thigh,None,Beginner,Stretching,"1
Sit against a wall and bring your feet together, letting the knees spread
2
Once you reach the end of your range, bounce the knees to feel a gentle stretch deep in your groin
3
Try to maintain a straight back while performing the exercise



Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/inner-thigh/adductor-stretch-seated-bilateral-dynamic/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-adductor-stretch-seated-bilateral-dynamic-front.mp4#t=0.1,"The 'Adductor Stretch Seated Bilateral Dynamic' is a 'Beginner' level 'Stretching' exercise that targets the 'inner-thigh' and requires 'None'. Instructions and tips: 1.Sit against a wall and bring your feet together, letting the knees spread.2.Once you reach the end of your range, bounce the knees to feel a gentle stretch deep in your groin.3.Try to maintain a straight back while performing the exercise.Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise"
13,Adductor Stretch Seated Bilateral Static,inner-thigh,None,Beginner,Stretching,"1
Sit against a wall and bring your feet together, letting the knees spread
2
Once you reach the end of your range, allow gravity to do the work
3
If you feel that gravity isn't enough, you can apply gentle downward pressure on your knees with your palms
4
Try to maintain a straight back while performing the exercise



Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/inner-thigh/adductor-stretch-seated-bilateral-static/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-adductor-stretch-seated-bilateral-static-front.mp4#t=0.1,"The 'Adductor Stretch Seated Bilateral Static' is a 'Beginner' level 'Stretching' exercise that targets the 'inner-thigh' and requires 'None'. Instructions and tips: 1.Sit against a wall and bring your feet together, letting the knees spread.2.Once you reach the end of your range, allow gravity to do the work.3.If you feel that gravity isn't enough, you can apply gentle downward pressure on your knees with your palms.4.Try to maintain a straight back while performing the exercise.Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise"
14,Alternating Bent Leg Raise,abdominals,bodyweight,Beginner,Muscle Building,"1
Lie on your back, legs bent and lifted off the ground.
2
Lower one leg to the ground until your foot taps the ground, keep your other leg up.
3
Alternate sides for the prescribed amount of reps.



Bodyweight Fitness, Lower Abdominals Exercise, At Home Exercise, Abs, Abdominals Exercise, Bodyweight Exercise, Abdominal Exercise, Abs Exercise",https://musclewiki.com/bodyweight/male/abdominals/alternating-bent-leg-raise/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bodyweight-alternating-bent-leg-raise-front.mp4#t=0.1,"The 'Alternating Bent Leg Raise' is a 'Beginner' level 'Muscle Building' exercise that targets the 'abdominals' and requires 'bodyweight'. Instructions and tips: 1.Lie on your back, legs bent and lifted off the ground..2.Lower one leg to the ground until your foot taps the ground, keep your other leg up..3.Alternate sides for the prescribed amount of reps..Bodyweight Fitness, Lower Abdominals Exercise, At Home Exercise, Abs, Abdominals Exercise, Bodyweight Exercise, Abdominal Exercise, Abs Exercise"
15,Alternating Heel Touch,"abdominals, obliques",bodyweight,Beginner,Muscle Building,"1
Lie on your back, knees bent, feet flat.
2
Reach right hand to right heel.
3
Switch sides, left hand to left heel. Repeat.



Obliques, Bodyweight Fitness, At Home Exercise, Obliques Exercise, Abs, Abdominals Exercise, Bodyweight Exercise, Abdominal Exercise, Ab Exercise, Abs Exercise",https://musclewiki.com/bodyweight/male/abdominals/alternating-heel-touch/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bodyweight-alternating-heel-touch-front.mp4#t=0.1,"The 'Alternating Heel Touch' is a 'Beginner' level 'Muscle Building' exercise that targets the 'abdominals, obliques' and requires 'bodyweight'. Instructions and tips: 1.Lie on your back, knees bent, feet flat..2.Reach right hand to right heel..3.Switch sides, left hand to left heel. Repeat..Obliques, Bodyweight Fitness, At Home Exercise, Obliques Exercise, Abs, Abdominals Exercise, Bodyweight Exercise, Abdominal Exercise, Ab Exercise, Abs Exercise"
16,Alternating Pole Rotation,"lateral-deltoid, anterior-deltoid, posterior-deltoid",None,Beginner,Stretching,"1
Start with the pole in front of you with an overhand wider than shoulder width grip.
2
Rotate one arm overhead and behind while keeping the other arm in front of you.
3
Then rotate the other arm.
4
Bring the original arm back to the starting position, then the other arm. Repeat.



Posterior Deltoid Exercise, Anterior Deltoid Exercise, Fitness Stretch, Shoulder Exercise, Lateral Deltoid Exercise, Shoulders Exercise",https://musclewiki.com/stretches/male/shoulders/alternating-pole-rotation/,https://media.musclewiki.com/media/uploads/videos/branded/male-Stretches-alternating-pole-rotation-front.mp4#t=0.1,"The 'Alternating Pole Rotation' is a 'Beginner' level 'Stretching' exercise that targets the 'lateral-deltoid, anterior-deltoid, posterior-deltoid' and requires 'None'. Instructions and tips: 1.Start with the pole in front of you with an overhand wider than shoulder width grip..2.Rotate one arm overhead and behind while keeping the other arm in front of you..3.Then rotate the other arm..4.Bring the original arm back to the starting position, then the other arm. Repeat..Posterior Deltoid Exercise, Anterior Deltoid Exercise, Fitness Stretch, Shoulder Exercise, Lateral Deltoid Exercise, Shoulders Exercise"
17,Ankle Circle,calves,None,Beginner,Muscle Building,"1
Sit or stand, lift one foot slightly off the ground.
2
Rotate your ankle in a circular motion.
3
Complete the allotted amount of reps, then switch directions and repeat on the other foot.



Calves Exercise, Leg Exercise, Calves",https://musclewiki.com/recovery/male/ankles/ankle-circle/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-ankle-circle-front.mp4#t=0.1,"The 'Ankle Circle' is a 'Beginner' level 'Muscle Building' exercise that targets the 'calves' and requires 'None'. Instructions and tips: 1.Sit or stand, lift one foot slightly off the ground..2.Rotate your ankle in a circular motion..3.Complete the allotted amount of reps, then switch directions and repeat on the other foot..Calves Exercise, Leg Exercise, Calves"
18,Assisted Bulgarian Split Squat,"quads, glutes",bodyweight,Beginner,Muscle Building,"1
Grab a stick of some sort or hold onto something stable (rack, bench).
2
Grab a box that is knee height or slightly lower.
3
Hold the stick in your right arm and put your right leg on the box.
4
Begin your squat by breaking at the knees. Get your knee close to the floor or all the way to the floor. Make sure to keep your chest tall.



Quads, How to do Assisted Bulgarian Split Squat, Bodyweight Exercise, Butt Exercise, Bodyweight Fitness, Glutes Exercise, beginner Bodyweight exercise, Leg Exercise, Glute Exercise, Quad Exercise, Balance, At Home Exercise, How To Do A Assisted Bulgarian Split Squat, Stability, Quads Exercise, Beginner, Split Squat",https://musclewiki.com/bodyweight/male/glutes/assisted-bulgarian-split-squat/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bodyweight-assisted-bulgarian-split-squat-front.mp4#t=0.1,"The 'Assisted Bulgarian Split Squat' is a 'Beginner' level 'Muscle Building' exercise that targets the 'quads, glutes' and requires 'bodyweight'. Instructions and tips: 1.Grab a stick of some sort or hold onto something stable (rack, bench)..2.Grab a box that is knee height or slightly lower..3.Hold the stick in your right arm and put your right leg on the box..4.Begin your squat by breaking at the knees. Get your knee close to the floor or all the way to the floor. Make sure to keep your chest tall..Quads, How to do Assisted Bulgarian Split Squat, Bodyweight Exercise, Butt Exercise, Bodyweight Fitness, Glutes Exercise, beginner Bodyweight exercise, Leg Exercise, Glute Exercise, Quad Exercise, Balance, At Home Exercise, How To Do A Assisted Bulgarian Split Squat, Stability, Quads Exercise, Beginner, Split Squat"
19,Backward Arm Circle,posterior-deltoid,bodyweight,Beginner,Muscle Building,"1
Hold your arms out to your sides.
2
Rotate your arms backwards in small circles.



Shoulder Exercise, Anterior Deltoid Exercise, Bodyweight Fitness, Lateral Deltoid Exercise, Posterior Deltoid Exercise, At Home Exercise, Bodyweight Exercise, Shoulders Exercise",https://musclewiki.com/bodyweight/male/shoulders/backward-arm-circle/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bodyweight-backward-arm-circle-front.mp4#t=0.1,"The 'Backward Arm Circle' is a 'Beginner' level 'Muscle Building' exercise that targets the 'posterior-deltoid' and requires 'bodyweight'. Instructions and tips: 1.Hold your arms out to your sides..2.Rotate your arms backwards in small circles..Shoulder Exercise, Anterior Deltoid Exercise, Bodyweight Fitness, Lateral Deltoid Exercise, Posterior Deltoid Exercise, At Home Exercise, Bodyweight Exercise, Shoulders Exercise"
20,Band Bayesian Curl,biceps,band,Beginner,Muscle Building,"1
Attach band to a low anchor point. Point your palms straight forward.
2
Flex your elbow until you feel your biceps contract. Then fully extend elbows.



Biceps Exercise, How To Do A Band Bayesian Curl, beginner Band exercise, Resistance Band Exercises, Band, How to do Band Bayesian Curl, Arm Exercise, Bicep Exercise, Band Exercise",https://musclewiki.com/band/male/biceps/band-bayesian-curl/,https://media.musclewiki.com/media/uploads/videos/branded/male-Band-band-bayesian-curl-front.mp4#t=0.1,"The 'Band Bayesian Curl' is a 'Beginner' level 'Muscle Building' exercise that targets the 'biceps' and requires 'band'. Instructions and tips: 1.Attach band to a low anchor point. Point your palms straight forward..2.Flex your elbow until you feel your biceps contract. Then fully extend elbows..Biceps Exercise, How To Do A Band Bayesian Curl, beginner Band exercise, Resistance Band Exercises, Band, How to do Band Bayesian Curl, Arm Exercise, Bicep Exercise, Band Exercise"
21,Band Bayesian Hammer Curl,"biceps, forearms",band,Intermediate,Muscle Building,"1
Attach band to a low anchor point. Use a neutral grip.
2
Flex your elbow until you feel your biceps contract. Then fully extend elbows.



Biceps Exercise, Bicep Exercise, Resistance Band Exercises, How To Do A Band Bayesian Hammer Curl, Band, Forearm Exercise, Arm Exercise, Forearms Exercise, How to do Band Bayesian Hammer Curl, intermediate Band exercise, Band Exercise",https://musclewiki.com/band/male/biceps/band-bayesian-hammer-curl/,https://media.musclewiki.com/media/uploads/videos/branded/male-Band-band-bayesian-hammer-curl-front.mp4#t=0.1,"The 'Band Bayesian Hammer Curl' is a 'Intermediate' level 'Muscle Building' exercise that targets the 'biceps, forearms' and requires 'band'. Instructions and tips: 1.Attach band to a low anchor point. Use a neutral grip..2.Flex your elbow until you feel your biceps contract. Then fully extend elbows..Biceps Exercise, Bicep Exercise, Resistance Band Exercises, How To Do A Band Bayesian Hammer Curl, Band, Forearm Exercise, Arm Exercise, Forearms Exercise, How to do Band Bayesian Hammer Curl, intermediate Band exercise, Band Exercise"
22,Band Bayesian Reverse Curl,"biceps, forearms",band,Beginner,Muscle Building,"1
Attach band to a low anchor point. . Point your palms toward your thighs.
2
Flex your elbow until you feel your biceps contract. Then fully extend elbows.



How to do Band Bayesian Reverse Curl, Bicep Exercise, Resistance Band Exercises, Biceps Exercise, How To Do A Band Bayesian Reverse Curl, intermediate Band exercise, Arm Exercise, Band, Band Exercise",https://musclewiki.com/band/male/biceps/band-bayesian-reverse-curl/,https://media.musclewiki.com/media/uploads/videos/branded/male-Band-band-bayesian-reverse-curl-front.mp4#t=0.1,"The 'Band Bayesian Reverse Curl' is a 'Beginner' level 'Muscle Building' exercise that targets the 'biceps, forearms' and requires 'band'. Instructions and tips: 1.Attach band to a low anchor point. . Point your palms toward your thighs..2.Flex your elbow until you feel your biceps contract. Then fully extend elbows..How to do Band Bayesian Reverse Curl, Bicep Exercise, Resistance Band Exercises, Biceps Exercise, How To Do A Band Bayesian Reverse Curl, intermediate Band exercise, Arm Exercise, Band, Band Exercise"
23,Band Calf Raise,calves,band,Beginner,Muscle Building,"1
Attach band to a low anchor point.
2
Take a few steps away until the band is taut.
3
Lean back slightly. Raise your heels straight up and down



beginner Band exercise, Resistance Band Exercises, Leg Exercise, Band, Calves Exercise, How to do Band Calf Raise, How To Do A Band Calf Raise, Calves, Band Exercise",https://musclewiki.com/band/male/calves/band-calf-raise/,https://media.musclewiki.com/media/uploads/videos/branded/male-Band-band-calf-raise-side.mp4#t=0.1,"The 'Band Calf Raise' is a 'Beginner' level 'Muscle Building' exercise that targets the 'calves' and requires 'band'. Instructions and tips: 1.Attach band to a low anchor point..2.Take a few steps away until the band is taut..3.Lean back slightly. Raise your heels straight up and down.beginner Band exercise, Resistance Band Exercises, Leg Exercise, Band, Calves Exercise, How to do Band Calf Raise, How To Do A Band Calf Raise, Calves, Band Exercise"
24,Band Chest Fly,chest,band,Beginner,Muscle Building,"1
Secure two resistance bands to a sturdy anchor point (e.g. a door anchor, a post, etc.) at chest height.
2
Stand facing away from the anchor point with feet shoulder-width apart and hold each end of the band in each hand.
3
Start with arms fully extended and parallel to the floor.
4
Keeping arms straight, slowly bring your arms together in front of your chest.



Chest, Pec, How to do Band Chest Fly, beginner Band exercise, Resistance Band Exercises, Band, Pec Exercise, Pecs, Chest Exercise, How To Do A Band Chest Fly, Band Exercise",https://musclewiki.com/band/male/chest/band-chest-fly/,https://media.musclewiki.com/media/uploads/videos/branded/male-band-chest-fly-front_EjlOhyB.mp4#t=0.1,"The 'Band Chest Fly' is a 'Beginner' level 'Muscle Building' exercise that targets the 'chest' and requires 'band'. Instructions and tips: 1.Secure two resistance bands to a sturdy anchor point (e.g. a door anchor, a post, etc.) at chest height..2.Stand facing away from the anchor point with feet shoulder-width apart and hold each end of the band in each hand..3.Start with arms fully extended and parallel to the floor..4.Keeping arms straight, slowly bring your arms together in front of your chest..Chest, Pec, How to do Band Chest Fly, beginner Band exercise, Resistance Band Exercises, Band, Pec Exercise, Pecs, Chest Exercise, How To Do A Band Chest Fly, Band Exercise"
25,Band Chest Press,"chest, triceps",band,Beginner,Muscle Building,"1
Stand in the middle of the two bands with feet shoulder-width apart. Step forward with one foot to create tension in the bands.
2
Hold one band in each hand, palms facing forward. Start the exercise with your arms extended in front of you, keeping a slight bend in your elbows.
3
Lower your arms to the sides of your chest, maintaining control of the band.
4
Push your arms back up to the starting position, keeping your core engaged and maintaining control of the band.



How to do Band Chest Press, press, beginner Band exercise, Resistance Band Exercises, Band, chest, Pec Exercise, Pecs, Chest Exercise, How To Do A Band Chest Press, Band Exercise",https://musclewiki.com/band/male/triceps/band-chest-press/,https://media.musclewiki.com/media/uploads/videos/branded/male-band-chest-press-front_XYmSX4f.mp4#t=0.1,"The 'Band Chest Press' is a 'Beginner' level 'Muscle Building' exercise that targets the 'chest, triceps' and requires 'band'. Instructions and tips: 1.Stand in the middle of the two bands with feet shoulder-width apart. Step forward with one foot to create tension in the bands..2.Hold one band in each hand, palms facing forward. Start the exercise with your arms extended in front of you, keeping a slight bend in your elbows..3.Lower your arms to the sides of your chest, maintaining control of the band..4.Push your arms back up to the starting position, keeping your core engaged and maintaining control of the band..How to do Band Chest Press, press, beginner Band exercise, Resistance Band Exercises, Band, chest, Pec Exercise, Pecs, Chest Exercise, How To Do A Band Chest Press, Band Exercise"
26,Band Crunch,abdominals,band,Intermediate,Muscle Building,"1
Place the band at the highest anchor point you have available. Grab both ends of the band and fall into a kneeling position.
2
Push your hips back flexing at the spine.
3
Squeeze your abs and then extend at the hips and spine back to the starting position.



Abdominal Exercise, Abs, How To Do A Band Crunch, How to do Band Crunch, Resistance Band Exercises, Abs Exercise, Abdominals Exercise, intermediate Band exercise, Band, Band Exercise",https://musclewiki.com/band/male/abdominals/band-crunch/,https://media.musclewiki.com/media/uploads/videos/branded/male-Band-band-crunch-side.mp4#t=0.1,"The 'Band Crunch' is a 'Intermediate' level 'Muscle Building' exercise that targets the 'abdominals' and requires 'band'. Instructions and tips: 1.Place the band at the highest anchor point you have available. Grab both ends of the band and fall into a kneeling position..2.Push your hips back flexing at the spine..3.Squeeze your abs and then extend at the hips and spine back to the starting position..Abdominal Exercise, Abs, How To Do A Band Crunch, How to do Band Crunch, Resistance Band Exercises, Abs Exercise, Abdominals Exercise, intermediate Band exercise, Band, Band Exercise"
