Muscle Group,Exercise Name,Instructions,Exercise URL,Video URL,Detailed How-To,Difficulty,Tags
glutes,Box Supported Single Leg Deadlift,"1
Stand tall facing a sturdy box or bench that is about knee height or slightly lower. Your working leg will be the one on the ground, and the non-working leg will be placed on the box behind you

2
Carefully place the top of your non-working foot (the one that will not be lifting) onto the surface of the box or bench behind you. Your body should be upright, and the majority of your weight should be on your front (working) leg

3
Engage your core and maintain a slight bend in the knee of your working leg. Keep your chest up and your back straight. You can hold a dumbbell or kettlebell in the hand opposite your working leg for added resistance, letting it hang down

4
Hinge forward at your hips, allowing your torso to lean forward as your non-working leg extends further back on the box. Keep your back straight and your core tight. Lower the weight (if using) towards the floor, keeping it close to your working leg

5
Feel the stretch in the hamstring of your working leg. Lower until you feel a good stretch or until your torso is parallel to the floor, without rounding your back

6
Drive through the heel of your working foot, squeezing your glute and hamstring to powerfully return to the starting upright position. Avoid pushing off the box with your back foot too much

7
Repeat for the desired number of repetitions on one leg before carefully switching sides and performing the exercise on the other leg",https://musclewiki.com/recovery/male/lowerback/single-leg-deadlift-1-box-support/,,,Intermediate,
glutes,Bodyweight Deadlift,"1
Stand with your feet hip-width apart, toes pointing straight forward or slightly out. Maintain a soft bend in your knees, avoiding locking them

2
Keep your chest up, shoulders pulled back and down, and your back straight. Engage your core

3
Initiate the movement by hinging at your hips, pushing your glutes backward as if you're trying to touch a wall behind you with your glutes. Allow your torso to lean forward, keeping your back flat and chest proud

4
As you hinge, imagine your hands sliding down the front of your thighs towards your knees or shins. Keep your shins relatively vertical throughout the movement

5
Continue to hinge until you feel a good stretch in your hamstrings, or until your torso is roughly parallel to the floor, or as far as you can go without rounding your back

6
To return to the starting position, drive through your heels, squeezing your glutes as you push your hips forward and stand tall. Avoid using your lower back to pull yourself up

7
Repeat for the desired number of repetitions, focusing on the hip hinge movement rather than simply bending over",https://musclewiki.com/recovery/male/lowerback/bodyweight-deadlift/,,,Beginner,
glutes,Kettlebell Box Squat,"1
Place a sturdy box or bench behind you. The height of the box will determine the depth of your squat. Stand with your feet slightly wider than shoulder-width apart, toes pointing slightly outwards, a comfortable distance in front of the box

2
Hold a kettlebell by the handle with both hands in a goblet position, holding it against your chest with the bell portion pointing down. Keep your elbows tucked in

3
Keeping your chest up, shoulders back, and core engaged, initiate the squat by pushing your hips back and down, as if you're trying to sit on the box behind you

4
Lower yourself slowly and with control until your glutes lightly touch the surface of the box. Maintain tension in your legs and core; avoid fully relaxing or sitting down heavily on the box

5
Once you've made contact with the box, immediately drive through your heels, pushing your hips forward and standing back up to the starting position. Squeeze your glutes at the top

6
Repeat for the desired number of repetitions, maintaining control and good form throughout the movement",https://musclewiki.com/kettlebells/male/lowerback/kettlebell-box-squat/,,,Beginner,
glutes,Bodyweight Ninety Ninety Hip Stretch,"1
Sit on the floor and bring one leg forward, bending your knee so your shin is perpendicular to your body and your thigh is at a 90-degree angle to your torso. Your foot should be flexed

2
Take your other leg and swing it behind you, bending that knee so your shin is also perpendicular to your body, creating a 90-degree angle at both your hip and knee. Both feet should be flexed, and your knees should be roughly aligned on either side of your body, forming a ""90/90"" shape with your legs

3
For the front leg, you can gently lean forward over your shin, keeping your back straight, to deepen the stretch in your glute and outer hip. You can support yourself with your hands on the floor in front of you

4
For the back leg, you can either keep your torso upright to feel a stretch in the inner thigh/hip flexor, or you can rotate your torso towards the back leg and gently lean back to intensify the stretch in that hip.

5
Hold the stretch for 30-60 seconds on each side, breathing deeply and allowing your hips to relax into the position. You should feel a stretch in the glute/outer hip of the front leg and potentially the inner thigh/hip flexor of the back leg.

6
Gently release the stretch and switch leg positions, repeating the process on the other side.",https://musclewiki.com/bodyweight/male/glutes/bodyweight-ninety-ninety-hip-stretch/,,,Novice,
glutes,Inchworm,"1
Start in a standing position with your feet hip-width apart and your legs straight, but not locked

2
Hinge at your hips and place your hands on the floor directly in front of your feet. If you can't reach the floor with straight legs, bend your knees slightly

3
Keeping your legs as straight as possible, slowly walk your hands forward, one hand over the other, until you reach a high plank position. Ensure your body forms a straight line from head to heels

4
From the high plank, keeping your hands stationary, slowly walk your feet towards your hands in small steps, one foot at a time. Keep your legs as straight as possible, feeling the stretch in your hamstrings

5
Continue walking your feet towards your hands until you reach the starting folded-over position. You can either stand up fully here or immediately repeat the movement by walking your hands out again

6
Repeat for the desired number of repetitions, focusing on control and a continuous movement rather than speed.",https://musclewiki.com/recovery/male/lowerback/inchworm/,,,Beginner,
glutes,Barbell Jefferson Deadlift,"1
Set up a barbell on the floor. Stand with your feet on either side of the barbell, straddling it, with one foot slightly in front of the bar and the other slightly behind. Your feet should be fairly close to the barbell

2
Bend at your knees and hips to grasp the barbell with an alternating grip (one palm facing forward, one palm facing back), with your hands positioned inside your legs, between your feet. Ensure your back is straight and your chest is up

3
Take a deep breath, brace your core, and keep your back straight. Drive through your heels, extending your hips and knees simultaneously to lift the barbell off the floor

4
As you stand up, pull the barbell in a straight line, keeping it close to your body. Focus on squeezing your glutes at the top of the movement without hyperextending your lower back

5
Slowly lower the barbell back to the floor by hinging at your hips and bending your knees, maintaining control and a straight back throughout the descent

6
Repeat for the desired number of repetitions. For the next set, you can switch which foot is forward and which is back to work both sides evenly.",https://musclewiki.com/barbell/male/lowerback/barbell-jefferson-deadlift/,,,Advanced,
glutes,Barbell Suitcase Carry,"1
Set up a barbell on the floor, ideally with some weight loaded onto it to prevent it from rolling easily. Stand beside the center of the barbell, with your body perpendicular to it

2
Bend at your knees and hips, keeping your back straight and chest up, to grasp the center of the barbell with one hand. Use a strong overhand grip

3
Lift the barbell off the floor, engaging your core to keep your body upright and preventing it from leaning to the side where you're holding the weight. Stand tall with your shoulders back and down

4
Walk slowly and deliberately, taking controlled steps. Focus on maintaining an upright posture, keeping your core braced, and resisting the urge for your body to lean away from the barbell

5
Walk for a predetermined distance or time, maintaining your posture and control throughout. Avoid letting the barbell swing excessively

6
Carefully lower the barbell back to the floor by bending at your knees and hips, maintaining a straight back. Switch hands and repeat the carry on the other side for the same distance or duration.",https://musclewiki.com/barbell/male/lowerback/barbell-suitcase-carry/,,,Intermediate,
glutes,Band Squat Hold Row,"1
Anchor a resistance band securely to a sturdy object at chest height. Step back until there's tension on the band, holding one end in each hand with an overhand grip, palms facing each other

2
Perform a squat by pushing your hips back and down, as if sitting in a chair. Lower until your thighs are roughly parallel to the floor, keeping your chest up and core engaged. Hold this squat position throughout the exercise

3
From the squat hold, pull the band handles towards your torso, squeezing your shoulder blades together. Keep your elbows relatively close to your body, pulling them back past your torso

4
Control the movement as you slowly extend your arms back to the starting position, allowing the band to pull your arms forward while maintaining tension. Resist the urge to let the band snap your arms back quickly

5
Repeat for the desired number of repetitions while continuously holding the squat position. Once all reps are complete, stand up from the squat.",https://musclewiki.com/band/male/biceps/band-squat-hold-row/,,,Intermediate,
glutes,Band Squat Hold Single Arm Row,"1
Anchor a resistance band securely to a sturdy object at chest height. Step back until there's tension on the band, holding one end of the band with one hand (the other hand can be on your hip or extended for balance)

2
Perform a squat by pushing your hips back and down, as if sitting in a chair. Lower until your thighs are roughly parallel to the floor, keeping your chest up and core engaged. Hold this squat position throughout the exercise

3
From the squat hold, pull the band handle towards your torso, squeezing your shoulder blade towards your spine. Keep your elbow relatively close to your body, pulling it back past your torso

4
Control the movement as you slowly extend your arm back to the starting position, allowing the band to pull your arm forward while maintaining tension. Resist the urge to let the band snap your arm back quickly

5
Repeat for the desired number of repetitions on one arm while continuously holding the squat position. Once all reps are complete, stand up from the squat, switch the band to the other hand, and repeat the exercise with the other arm.",https://musclewiki.com/band/male/biceps/band-squat-hold-single-arm-row/,,,Intermediate,
forearms,Vajrasana Variation 2,"1
Start by kneeling on the floor with your knees together. Tuck your toes under so the balls of your feet and your toes are on the ground, and your heels are lifted

2
Slowly and gently sit your hips back onto your heels. Your buttocks should be resting on your heels, with your toes tucked under. Ensure your knees remain together

3
Once comfortably balanced, keep your spine long and chest lifted. You can place your hands gently on your thighs or in your lap, one hand on top of the other

4
Focus on your breath, inhaling and exhaling slowly and deeply. You will feel an intense stretch in the soles of your feet and toes

5
Hold the pose for a comfortable duration, starting with 30 seconds to 1 minute, and gradually increasing as your flexibility improves. If the stretch is too intense, you can place a folded blanket or thin cushion under your knees or shins to reduce pressure

6
To release, slowly lean forward onto your hands, gently release your toes, and then carefully sit back on your heels in a more relaxed kneeling position, or move into Child's Pose (Balasana) to counter-stretch",https://musclewiki.com/yoga/male/forearms/vajrasana-Variation-2/,,,Novice,
calves,Cardio In And Outs,"1
Start in a high plank position with your hands directly under your shoulders, fingers pointing forward, and your body in a straight line from head to heels. Your feet should be together

2
Keeping your core tight and hips stable, simultaneously jump both feet outwards, wider than hip-width apart, landing softly on the balls of your feet

3
Immediately and with control, jump both feet back inwards to the starting plank position, bringing them together again

4
Continue to rapidly jump your feet in and out, maintaining a strong plank throughout the movement. Focus on controlled, quick movements rather than speed that compromises form

5
Repeat for the desired number of repetitions or time interval",https://musclewiki.com/cardio/male/calves/cardio-in-and-outs/,https://media.musclewiki.com/media/uploads/videos/branded/male-Cardio-cardio-in-and-outs-front.mp4#t=0.1,,Beginner,"Butt Exercise, Glutes Exercise, Leg Exercise, Glute Exercise, Calves Exercise, Gluteus Medius Exercise, Calves"
calves,Calf Mobilisation Seated Floor Roll,"1
Sit on the floor with your legs extended in front of you. Place a foam roller horizontally under the calf of one leg, somewhere between your ankle and knee

2
Place your hands on the floor behind you for support, lifting your hips off the ground so that your weight rests on the foam roller and your arms

3
Slowly roll your calf back and forth over the foam roller, moving from just above your ankle up to just below your knee. Feel for any tender spots or areas of tightness

4
When you find a tender spot, pause on it and apply pressure for 20-30 seconds, allowing the muscle to release. You can also slightly rotate your leg inwards and outwards to hit different angles of the calf muscle

5
For increased pressure, you can cross your other leg over the leg on the foam roller, or simply apply more bodyweight through your arms

6
Continue rolling for 1-2 minutes, or until the calf feels more pliable and less tender. Then, switch the foam roller to the other leg and repeat the process",https://musclewiki.com/recovery/male/calves/calf-mobilisation-seated-floor-roll/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-mobilisation-seated-floor-roll-side.mp4#t=0.1,,Novice,"Calves Exercise, Leg Exercise, Calves"
calves,Calf Raise 1A Bilateral Eccentric Floor,"1
Stand upright with your feet hip-width apart on a flat floor. You may stand near a wall or sturdy object for balance, if needed

2
Perform a regular calf raise by pushing up onto the balls of both feet and lifting your heels as high as possible. Hold this top position for a brief moment, ensuring you're fully contracted in your calves

3
Now, slowly and with control, lower both heels back down to the floor. The key is to make this lowering phase (the eccentric phase) as slow and controlled as possible, resisting gravity. Aim for a 3-5 second descent

4
Once your heels touch the floor, immediately initiate the next repetition by pushing back up onto your toes

5
Repeat for the desired number of repetitions, focusing on the slow and controlled lowering phase of each rep.",https://musclewiki.com/recovery/male/calves/calf-raise-1a-bilateral-eccentric-floor/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-raise-1a-bilateral-eccentric-floor-side.mp4#t=0.1,,Beginner,"Calves Exercise, Leg Exercise, Calves"
obliques,Band Wood Chopper,"1
Anchor a resistance band securely to a sturdy object (like a pole or a door anchor) at a high point, above your head or at shoulder height. Stand sideways to the anchor point, with your feet shoulder-width apart, holding the end of the band with both hands

2
Stand far enough away from the anchor point to create tension in the band, with your arms extended towards the anchor. Your body should be slightly rotated towards the anchor, and your core engaged

3
Keeping your arms relatively straight (a slight bend in the elbows is fine), pull the band downwards and across your body towards the opposite hip, as if you are chopping wood. As you pull, pivot on your back foot and rotate your torso and hips to complete the chopping motion

4
Focus on engaging your obliques and core muscles to power the movement. Your gaze should follow your hands

5
Control the movement as you slowly allow the band to pull your arms back up to the starting position, resisting the tension. Do not let the band snap your arms back quickly

6
Repeat for the desired number of repetitions on one side before turning around and performing the exercise on the other side, anchoring the band from the opposite high point.",https://musclewiki.com/band/male/obliques/band-wood-chopper/,https://media.musclewiki.com/media/uploads/videos/branded/male-Band-band-wood-chopper-front.mp4#t=0.1,,Intermediate,"Obliques, advanced Band exercise, advanced exercise, How to do Band Wood Chopper, Resistance Band Exercises, Band, How To Do A Band Wood Chopper, Obliques Exercise, Ab Exercise, Band Exercise"
obliques,Dumbbell Elbow Side Plank,"1
Lie on your side on the floor, supporting your upper body with your forearm. Your elbow should be directly under your shoulder, and your forearm should be flat on the ground, pointing away from your body. Stack your feet on top of each other

2
Place a light to moderate dumbbell on the floor next to your top hip. Carefully grab the dumbbell with your top hand

3
Engage your core and lift your hips off the floor, forming a straight line from your head to your heels. Your body should be supported by your forearm and the side of your bottom foot. Hold the dumbbell in your top hand, letting it hang straight down towards the floor

4
Maintain this straight-body position throughout the exercise. Resist any urge for your hips to sag or rotate. The dumbbell will create an additional challenge to your core stability as it tries to pull you down

5
Hold the side plank position for the desired duration, focusing on deep, steady breathing and maintaining a rigid posture

6
Gently lower your hips back to the floor with control. Carefully place the dumbbell down, then roll over to your other side and repeat the exercise, holding the dumbbell in your other hand.",https://musclewiki.com/dumbbells/male/obliques/dumbbell-elbow-side-plank/,https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-elbow-side-plank-side.mp4#t=0.1,,Intermediate,"Side Plank, How to do Dumbbell Elbow Side Plank, Dumbbell Exercise, Obliques Exercise, Ab Exercise, Obliques, How To Do A Dumbbell Elbow Side Plank, beginner Dumbbells exercise, Dumbbells"
gluteus-medius,Kettlebell Single Arm Curtsy Lunge,"1
Stand upright with your feet hip-width apart, holding a kettlebell in one hand (the hand on the same side as the leg that will step back, or the opposite side for a stability challenge). Hold the kettlebell in a racked position (bell resting on your forearm, elbow tucked in) or in a farmer's carry position (arm extended down at your side)

2
Keeping your chest up and core engaged, take a large step backward and diagonally with the leg opposite to the hand holding the kettlebell. Your back foot should land behind and outside of your front foot, as if you are doing a curtsy

3
As you step back, lower your hips straight down until your front thigh is parallel to the floor and your back knee is hovering just above the ground. Ensure your front knee is tracking over your toes and not caving inward, and your torso remains upright

4
Push off the back foot and drive through the heel of your front foot to return to the starting standing position. Maintain control and balance as you bring your feet back together

5
Repeat for the desired number of repetitions on one side before switching the kettlebell to the other hand and performing the exercise on the other leg",https://musclewiki.com/kettlebells/male/glutes/Kettlebell-single-arm-curtsy-lunge/,,,Intermediate,
gluteus-medius,Cardio In And Outs,"1
Start in a high plank position with your hands directly under your shoulders, fingers pointing forward, and your body in a straight line from head to heels. Your feet should be together

2
Keeping your core tight and hips stable, simultaneously jump both feet outwards, wider than hip-width apart, landing softly on the balls of your feet

3
Immediately and with control, jump both feet back inwards to the starting plank position, bringing them together again

4
Continue to rapidly jump your feet in and out, maintaining a strong plank throughout the movement. Focus on controlled, quick movements rather than speed that compromises form

5
Repeat for the desired number of repetitions or time interval",https://musclewiki.com/cardio/male/calves/cardio-in-and-outs/,https://media.musclewiki.com/media/uploads/videos/branded/male-Cardio-cardio-in-and-outs-front.mp4#t=0.1,,Beginner,"Butt Exercise, Glutes Exercise, Leg Exercise, Glute Exercise, Calves Exercise, Gluteus Medius Exercise, Calves"
gluteus-maximus,Kettlebell Single Arm Curtsy Lunge,"1
Stand upright with your feet hip-width apart, holding a kettlebell in one hand (the hand on the same side as the leg that will step back, or the opposite side for a stability challenge). Hold the kettlebell in a racked position (bell resting on your forearm, elbow tucked in) or in a farmer's carry position (arm extended down at your side)

2
Keeping your chest up and core engaged, take a large step backward and diagonally with the leg opposite to the hand holding the kettlebell. Your back foot should land behind and outside of your front foot, as if you are doing a curtsy

3
As you step back, lower your hips straight down until your front thigh is parallel to the floor and your back knee is hovering just above the ground. Ensure your front knee is tracking over your toes and not caving inward, and your torso remains upright

4
Push off the back foot and drive through the heel of your front foot to return to the starting standing position. Maintain control and balance as you bring your feet back together

5
Repeat for the desired number of repetitions on one side before switching the kettlebell to the other hand and performing the exercise on the other leg",https://musclewiki.com/kettlebells/male/glutes/Kettlebell-single-arm-curtsy-lunge/,,,Intermediate,
