Exercise Name,Muscle Group,Equipment,Difficulty,Exercise_Type,Combined_Text,Exercise_URL,Video_URL
Biceps Stretch Variation Three,biceps,unknown,Novice,Stretching,"1
Bend your arm at the elbow, raising your hand to your shoulder.
2
Using your other hand, stretch the arm down to its full extent.



How To Do A Biceps Stretch Variation Three, Bicep Exercise, Fitness Stretch, How to do Biceps Stretch Variation Three, beginner Stretches exercise, Arm Exercise, Biceps Exercise",https://musclewiki.com/stretches/male/biceps/biceps-stretch-variation-three/,https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-3-front.mp4#t=0.1
Biceps Stretch Variation Two,biceps,unknown,Novice,Stretching,"1
Stand facing the wall, an arm's width away.
2
Place your hand on the wall with your fingers pointing down.
3
Lean slightly into the wall to feel the stretch in your bicep.



How To Do A Biceps Stretch Variation Two, Bicep Exercise, Fitness Stretch, How to do Biceps Stretch Variation Two, beginner Stretches exercise, Arm Exercise, Biceps Exercise",https://musclewiki.com/stretches/male/biceps/biceps-stretch-variation-two/,https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-2-front.mp4#t=0.1
Bodyweight Deadlift,glutes,bodyweight,Beginner,Muscle Building,"1
Stand with your feet hip-width apart, toes pointing straight forward or slightly out. Maintain a soft bend in your knees, avoiding locking them

2
Keep your chest up, shoulders pulled back and down, and your back straight. Engage your core

3
Initiate the movement by hinging at your hips, pushing your glutes backward as if you're trying to touch a wall behind you with your glutes. Allow your torso to lean forward, keeping your back flat and chest proud

4
As you hinge, imagine your hands sliding down the front of your thighs towards your knees or shins. Keep your shins relatively vertical throughout the movement

5
Continue to hinge until you feel a good stretch in your hamstrings, or until your torso is roughly parallel to the floor, or as far as you can go without rounding your back

6
To return to the starting position, drive through your heels, squeezing your glutes as you push your hips forward and stand tall. Avoid using your lower back to pull yourself up

7
Repeat for the desired number of repetitions, focusing on the hip hinge movement rather than simply bending over



",https://musclewiki.com/recovery/male/lowerback/bodyweight-deadlift/,https://placehold.co/640x360/png?text=No+Video+Available
Bosu Ball Single Leg Squat,"quads, glutes",bodyweight,Beginner,Muscle Building,"1
Stand on a bosu ball and balance on one leg.
2
Try to bend and extend the knee of the supporting leg (single leg squat) while keeping your balance.



Butt Exercise, Glutes Exercise, Leg Exercise, Quad Exercise, Glute Exercise, Quads Exercise",https://musclewiki.com/recovery/male/glutes/squat-on-bosu-ball-single-leg/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-squat-on-bosu-ball-single-leg-front.mp4#t=0.1
Bosu Serratus Activation Active Plank,"chest, shoulders, abdominals",bodyweight,Novice,Muscle Building,"1
Support your weight on your forearms and toes (plank).
2
Allow your upper back to sink in between the shoulder blades.
3
Push your elbows into the ground and slightly forward, and move the shoulder blades away from the spine.



Pec Exercise, Pecs, Abs, Abdominals Exercise, Chest Exercise, Abdominal Exercise, Abs Exercise",https://musclewiki.com/recovery/male/shoulders/bosu-serratus-activation-active-plank/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-seratus-activation-4-plank-active-bosu-side.mp4#t=0.1
Bosu Serratus Activation Plank,"chest, shoulders",bodyweight,Novice,Muscle Building,"1
Support your weight with your forearms on the bosu and toes on the floor (plank).
2
Allow your upper back to sink in between the shoulder blades.
3
Push your elbows into the ground and slightly forward, and move the shoulder blades away from the spine.



Pec Exercise, Chest Exercise, Pecs",https://musclewiki.com/recovery/male/shoulders/bosu-serratus-activation-plank/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-seratus-activation-2-plank-isometric-bosu-side.mp4#t=0.1
Bow Pose,chest,unknown,Intermediate,Stretching,"1
Lie on your stomach with your arms at your sides.
2
Bend your knees and bring your heels towards your buttocks.
3
Reach back with your hands and grab your ankles.
4
Inhale and lift your chest off the ground, pulling your legs up and back with your hands.
5
Keep your gaze forward and hold the pose for a few breaths before releasing back to the ground.



Pecs, Yoga Exercises, intermediate Yoga exercise, Yoga Fitness, Yoga Pose, Pec Exercise, Dhanurasana, Chest Exercise, Yoga, How To Do A Bow Pose, Bow Pose, How to do Bow Pose",https://musclewiki.com/yoga/male/chest/bow-pose/,https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-bow-pose-front.mp4#t=0.1
Box Supported Single Leg Deadlift,"hamstrings, glutes",unknown,Advanced,Muscle Building,"1
Place a box behind you and one foot on it. Keep your chest up and the back straight
2
Tilt at the hips to perform a deadlift. Use the box for balance and support
3
Make sure you straighten your back leg when performing the deadlift.
4
As you get comfortable with the movement, try to lift the leg off the box when you reach the end range of the deadlift.



Butt Exercise, Glutes Exercise, Leg Exercise, Glute Exercise, Hamstrings Exercise, Hamstring Exercise",https://musclewiki.com/recovery/male/lowerback/single-leg-deadlift-1-box-support/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-single-leg-deadlift-1-box-support-front.mp4#t=0.1
Butt Kick,hamstrings,unknown,Novice,Muscle Building,"1
Stand tall, jog in place, bringing heels toward your glutes.
2
Keep your core tight and swing arms naturally.
3
Alternate legs quickly, maintaining a steady rhythm.



Hamstrings Exercise, Leg Exercise, Hamstring Exercise",https://musclewiki.com/cardio/male/hamstrings/butt-kick/,https://media.musclewiki.com/media/uploads/videos/branded/male-Cardio-butt-kick-side.mp4#t=0.1
Calf Isometric On Step,calves,unknown,Novice,Muscle Building,"1
Stand on the edge of a step (on the balls of your feet)
2
Support your weight in this position for the given amount of time
3
You should feel your calves working



Calves Exercise, Leg Exercise, Calves",https://musclewiki.com/recovery/male/calves/calf-isometric-on-step/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-isometric-on-step-front.mp4#t=0.1
Calf Mobilisation Seated Floor Roll,calves,unknown,Beginner,Muscle Building,"1
Sit on the floor with your legs extended in front of you. Place a foam roller horizontally under the calf of one leg, somewhere between your ankle and knee

2
Place your hands on the floor behind you for support, lifting your hips off the ground so that your weight rests on the foam roller and your arms

3
Slowly roll your calf back and forth over the foam roller, moving from just above your ankle up to just below your knee. Feel for any tender spots or areas of tightness

4
When you find a tender spot, pause on it and apply pressure for 20-30 seconds, allowing the muscle to release. You can also slightly rotate your leg inwards and outwards to hit different angles of the calf muscle

5
For increased pressure, you can cross your other leg over the leg on the foam roller, or simply apply more bodyweight through your arms

6
Continue rolling for 1-2 minutes, or until the calf feels more pliable and less tender. Then, switch the foam roller to the other leg and repeat the process



Calves Exercise, Leg Exercise, Calves",https://musclewiki.com/recovery/male/calves/calf-mobilisation-seated-floor-roll/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-mobilisation-seated-floor-roll-side.mp4#t=0.1
Calf Raise 1A Bilateral Eccentric Floor,calves,bodyweight,Beginner,Muscle Building,"1
Stand upright with your feet hip-width apart on a flat floor. You may stand near a wall or sturdy object for balance, if needed

2
Perform a regular calf raise by pushing up onto the balls of both feet and lifting your heels as high as possible. Hold this top position for a brief moment, ensuring you're fully contracted in your calves

3
Now, slowly and with control, lower both heels back down to the floor. The key is to make this lowering phase (the eccentric phase) as slow and controlled as possible, resisting gravity. Aim for a 3-5 second descent

4
Once your heels touch the floor, immediately initiate the next repetition by pushing back up onto your toes

5
Repeat for the desired number of repetitions, focusing on the slow and controlled lowering phase of each rep.



Calves Exercise, Leg Exercise, Calves",https://musclewiki.com/recovery/male/calves/calf-raise-1a-bilateral-eccentric-floor/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-raise-1a-bilateral-eccentric-floor-side.mp4#t=0.1
Calf Raise 1B Bilateral Floor,calves,bodyweight,Beginner,Muscle Building,"1
From the standing position, shift your weight onto the balls of your feet
2
Raise the heels off the ground, before lowering them back to the ground
3
Do not rest at the bottom. As soon as you feel your heels touch the ground, repeat the movement
4
You should feel your calves working



Calves Exercise, Leg Exercise, Calves",https://musclewiki.com/recovery/male/calves/calf-raise-1b-bilateral-floor/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-raise-1b-bilateral-floor-front.mp4#t=0.1
Calf Raise 1C Bilateral Eccentric From Box,calves,bodyweight,Beginner,Muscle Building,"1
While standing on the edge of a step, shift your weight on your toes while quickly raising the heals
2
Hold the top position for a split second and then very slowly lower your heels below the level of the step until you start feeling a stretch in the calves
3
Try to avoid muscular (calf) contraction while raising the heels and then exert muscular contraction on the eccentric phase
4
Pause on both ends of range



Calves Exercise, Leg Exercise, Calves",https://musclewiki.com/recovery/male/calves/calf-raise-1c-bilateral-eccentric-from-box/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-raise-1c-bilateral-eccentric-from-box-front.mp4#t=0.1
Calf Raise 1D Bilateral From Box,calves,bodyweight,Beginner,Muscle Building,"1
Use the edge of a step to place the balls of your feet on
2
Raise the heels, before lowering them below the level of the step, or until you feel a stretch in the calves
3
Try pausing on both ends of range for a split second
4
You should feel your calves working



Calves Exercise, Leg Exercise, Calves",https://musclewiki.com/recovery/male/calves/calf-raise-1d-bilateral-from-box/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-raise-1d-bilateral-from-box-front.mp4#t=0.1
Calf Raise 1E Bilateral Isometric Floor,calves,bodyweight,Beginner,Muscle Building,"1
From the standing position, shift your weight onto the balls of your feet
2
Raise the heels off the ground, and hold the position for the duration specified
3
You should feel your calves working



Calves Exercise, Leg Exercise, Calves",https://musclewiki.com/recovery/male/calves/calf-raise-1e-bilateral-isometric-floor/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-raise-1e-bilateral-isometric-floor-front.mp4#t=0.1
Calf Raise 2A Eccentric Unilateral Floor,calves,bodyweight,Beginner,Muscle Building,"1
Raise both heels off the ground, shift your weight onto the working leg while the opposite leg is suspended.
2
Hold the top position for a split second and then very slowly lower your heel to the ground
3
Try to avoid muscular (calf) contraction while raising the heel and then exert muscular contraction on the eccentric phase



Calves Exercise, Leg Exercise, Calves",https://musclewiki.com/recovery/male/calves/calf-raise-2a-eccentric-unilateral-floor/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-raise-2a-eccentric-unilateral-floor-side.mp4#t=0.1
Calf Raise 2B Unilateral Floor,calves,bodyweight,Beginner,Muscle Building,"1
From the standing position, shift your weight onto onto one foot
2
Raise the heel of the working leg off the ground, before lowering it back to the ground
3
Do not rest at the bottom. As soon as you feel your heel touch the ground, repeat the movement
4
You should feel your calf working



Calves Exercise, Leg Exercise, Calves",https://musclewiki.com/recovery/male/calves/calf-raise-2b-unilateral-floor/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-raise-2b-unilateral-floor-front.mp4#t=0.1
Calf Raise 2C Eccentric Unilateral From Box,calves,bodyweight,Beginner,Muscle Building,"1
While standing on the edge of a step, use both legs to raise your heels, before shifting your weight onto the working leg
2
Hold the top position for a split second and then very slowly lower your heel below the level of the step or until you start feeling a stretch in the calf
3
Try to avoid muscular (calf) contraction while raising the heels and then exert muscular contraction on the eccentric phase



Calves Exercise, Leg Exercise, Calves",https://musclewiki.com/recovery/male/calves/calf-raise-2c-eccentric-unilateral-from-box/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-raise-2c-eccentric-unilateral-from-box-side.mp4#t=0.1
Calf Raise 2D Unilateral From Box,calves,bodyweight,Beginner,Muscle Building,"1
Use the edge of a step to place the balls of one foot on
2
Raise the heel, before lowering it below the level of the step, or until you feel a stretch in the calf
3
Try pausing on both ends of range for a split second



Calves Exercise, Leg Exercise, Calves",https://musclewiki.com/recovery/male/calves/calf-raise-2d-unilateral-from-box/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-raise-2d-unilateral-from-box-front.mp4#t=0.1
Calf Raise 3A Soleus Bias Bilateral,"calves, soleus",bodyweight,Beginner,Muscle Building,"1
From the standing position, bend your knees till you get to a squated or semi-squated position
2
Maintain the squat while raising both heels off the ground
3
Hold the position for a split second before lowering your heels again
4
Do not rest at the bottom. As soon as you feel your heels touch the ground, repeat the movement



Calves Exercise, Soleus Exercise, Leg Exercise, Calves",https://musclewiki.com/recovery/male/calves/calf-raise-3a-soleus-bias-bilateral/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-raise-3a-soleus-bias-bilateral-front.mp4#t=0.1
Calf Raise 3B Soleus Bias Unilateral,"calves, soleus",bodyweight,Beginner,Muscle Building,"1
From the standing position, bend your knees till you get to a squated or semi-squated position. Be close to a pole or squat rack to use for balance
2
Maintain the squat while shifting your weight onto the working leg and raising the other off the ground
3
Raise your heel off the ground
4
Hold the position for a split second before lowering your heel again
5
Do not rest at the bottom. As soon as you feel your heel touch the ground, repeat the movement



Calves Exercise, Soleus Exercise, Leg Exercise, Calves",https://musclewiki.com/recovery/male/calves/calf-raise-3b-soleus-bias-unilateral/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-raise-3b-soleus-bias-unilateral-front.mp4#t=0.1
Calf Raise Isometric Unilateral,calves,bodyweight,Beginner,Muscle Building,"1
From the standing position, shift your weight onto the balls of one foot.
2
Raise your heel off the ground, and hold the position for the duration specified
3
You should feel your calf working.



Calves Exercise, Leg Exercise, Calves",https://musclewiki.com/recovery/male/calves/calf-raise-isometric-unilateral/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-calf-raise-isometric-unilateral-front.mp4#t=0.1
